"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.347320313E0,2.075479180E-2,-2.701430321E-1,-5.070552826E-1
1.352320313E0,-5.561842769E-2,-2.875080109E-1,-4.871902466E-1
1.357320313E0,-3.348532021E-1,-3.519749641E-1,-3.247833252E-1
1.362320313E0,-2.399123311E-1,-2.596347332E-1,-3.593282700E-1
1.367320313E0,-2.695322037E-1,-1.532359123E-1,-3.539190292E-1
1.372320313E0,-3.141680956E-1,-9.660434723E-2,-3.162355423E-1
1.377320313E0,-3.406914473E-1,-6.724452972E-2,-2.347002029E-1
1.382320313E0,-3.167850375E-1,-2.257466316E-2,-1.090564728E-1
1.387320313E0,-2.977300286E-1,1.016569138E-2,2.311038971E-2
1.392320313E0,-1.671376675E-1,6.344962120E-2,-3.783130646E-2
1.397320313E0,2.164156437E-1,1.329729557E-1,-2.623987198E-1
1.402320313E0,2.740916014E-1,1.058447361E-1,-1.001625061E-1
1.407320313E0,5.928487331E-2,3.094005585E-2,2.718248367E-1
1.412320313E0,-1.460534781E-1,-4.647135735E-2,5.735445023E-1
1.417320313E0,-6.006291509E-2,-5.739140511E-2,6.956033707E-1
1.422320313E0,1.285517216E-1,-1.533365250E-2,6.681365967E-1
1.427320313E0,9.340372682E-2,-1.021075249E-2,7.472448349E-1
1.432320313E0,-2.532870770E-1,-7.086825371E-2,1.087733269E0
1.437320313E0,-4.645405412E-1,-1.004724503E-1,1.217504501E0
1.442320313E0,-3.233350515E-1,-1.077389717E-2,1.013462067E0
1.447320313E0,-3.319643438E-1,1.306490898E-1,9.392566681E-1
1.452320313E0,-4.611780345E-1,2.246212959E-1,9.385690689E-1
1.457320313E0,-5.864634514E-1,3.195817471E-1,8.657436371E-1
1.462320313E0,-5.533100963E-1,4.337029457E-1,5.960950851E-1
1.467320313E0,-4.458886385E-1,5.065541267E-1,3.353004456E-1
1.472320313E0,-3.126187325E-1,5.096735954E-1,8.684444427E-2
1.477320313E0,-1.425474286E-1,4.611730576E-1,-2.748851776E-1
1.482320313E0,6.029566005E-2,4.327821732E-1,-6.464405060E-1
1.487320313E0,2.218900919E-1,4.158234596E-1,-8.581476212E-1
1.492320313E0,3.052772284E-1,3.515195847E-1,-8.518190384E-1
1.497320313E0,3.292612731E-1,2.255239487E-1,-6.485509872E-1
1.502320313E0,2.431291044E-1,1.162774563E-1,-3.194704056E-1
1.507320313E0,2.094152719E-1,7.718563080E-2,-1.783342361E-1
1.512320313E0,2.253289521E-1,6.734919548E-2,-1.161575317E-1
1.517320313E0,6.604786217E-2,5.601263046E-2,1.950931549E-1
1.522320313E0,-9.017413855E-2,9.305143356E-2,3.745460510E-1
1.527320313E0,-2.246559411E-1,4.717564583E-2,4.482088089E-1
1.532320313E0,-3.153640032E-1,-5.781650543E-2,4.660768509E-1
1.537320313E0,-2.281104624E-1,-1.527740955E-1,3.007984161E-1
1.542320313E0,-2.587120235E-2,-3.063054085E-1,3.090667725E-2
1.547320313E0,1.458223015E-1,-4.627110958E-1,-2.634162903E-1
1.552320313E0,2.763927579E-1,-5.266600847E-1,-5.225572586E-1
1.557320313E0,5.816454887E-1,-5.021296740E-1,-8.120326996E-1
1.562320313E0,6.260943413E-1,-4.966833591E-1,-8.648834229E-1
1.567320313E0,4.991141260E-1,-4.571595192E-1,-6.831674576E-1
1.572320313E0,2.928094566E-1,-3.723245859E-1,-3.969926834E-1
1.577320313E0,9.066742659E-2,-2.131290436E-1,-9.246253967E-2
1.582320313E0,-2.273961902E-3,-4.357814789E-3,1.895236969E-2
1.587320313E0,-1.086513698E-1,1.539196968E-1,-5.855846405E-2
1.592320313E0,-2.103097588E-1,2.251088619E-1,-1.576395035E-1
1.597320313E0,-3.517087400E-1,2.393164635E-1,-2.264957428E-1
1.602320313E0,-4.276387095E-1,2.634158134E-1,-2.758693695E-1
1.607320313E0,-2.460192591E-1,3.114185333E-1,-3.841428757E-1
1.612320313E0,-3.422780037E-1,2.851419449E-1,-4.063777924E-1
1.617320313E0,-4.358793199E-1,2.826669216E-1,-3.707609177E-1
1.622320313E0,-4.967628419E-1,3.145587444E-1,-3.611936569E-1
1.627320313E0,-7.033193707E-1,3.568482399E-1,-3.194503784E-1
1.632320313E0,-7.020227313E-1,4.643762112E-1,-3.893718719E-1
1.637320313E0,-4.027497172E-1,5.405156612E-1,-6.546669006E-1
1.642320313E0,-1.472684443E-1,5.638263226E-1,-8.993358612E-1
1.647320313E0,1.227384359E-1,5.324492455E-1,-1.254034996E0
1.652320313E0,1.667017341E-1,4.101762772E-1,-1.507656574E0
1.657320313E0,3.300594985E-1,2.745876312E-1,-1.771117210E0
1.662320313E0,3.971352875E-1,2.021858692E-1,-1.778542042E0
1.667320313E0,6.071029902E-1,1.207022667E-1,-1.667035580E0
1.672320313E0,6.010876894E-1,5.672430992E-2,-1.403153419E0
1.677320313E0,6.410872340E-1,-1.097464561E-2,-1.286239624E0
1.682320313E0,4.930686653E-1,-1.393194199E-1,-9.688901901E-1
1.687320313E0,6.556963921E-1,-2.141441107E-1,-8.493242264E-1
1.692320313E0,4.475246668E-1,-2.797583342E-1,-6.272859573E-1
1.697320313E0,2.895219028E-1,-5.869830847E-1,-2.404785156E-1
1.702320313E0,1.672033817E-1,-7.390191555E-1,9.976005554E-2
1.707320313E0,1.136820465E-1,-7.535111904E-1,3.368625641E-1
1.712320313E0,4.094600677E-1,-6.765217781E-1,4.546089172E-1
1.717320313E0,3.988965154E-1,-5.614180565E-1,6.857089996E-1
1.722320313E0,2.398508191E-1,-3.760807514E-1,8.508710861E-1
1.727320313E0,6.027966738E-4,-1.713374853E-1,1.021959305E0
1.732320313E0,-1.927021146E-1,3.994703293E-3,1.001645088E0
1.737320313E0,-1.999335885E-1,2.019385099E-1,9.526033401E-1
1.742320313E0,-4.890245795E-1,2.801588774E-1,8.950109482E-1
1.747320313E0,-1.162094474E0,3.536266088E-1,1.559816360E0
1.752320313E0,5.072270334E-2,1.200160980E0,6.037559509E-1
